,,,,,,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC1,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC3,BC15,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC36,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC38,BC39,BC39,BC39,BC40,BC40,BC40,BC40,BC41,BC41,BC42
KEGG,element,enzyme_number,pathway,all_gene,gene,Zod_Metabat_411,Zod_Metabat_546,A05DMB_2,A14_8_m_bin19,AM_2014_bin_0583,AS06rmzACSIP_217,Bin13_14_8m,BinDmb219,Chersky_322,Co191P4bin18,Emb289P1bin127,fen_988,fen_993,Lab288P4bin61,MF_4_2_1_10_12_7,MF_4_7_5_8,MF_5_3_1_4,MWv41,Nc150P4bin1,Nt197P4bin22,SpSt_546,SpSt_998,SZUA_568,Th196P4bin19,Lab288P4bin25,UBA11852,LaPlata_bin_2628,A0715_SJ02_107_054,A1015_Q2_40_375,A0116_SJ02_428,MBMAG143,A0715_SJ02_89,MBMAG267,MBMAG531,MBMAG619,A0216_BV02_MP12_107_017_filtered,palsa_986,SJ75_69_contigs,bog_990,MBMAG207,MBMAG220,A1015_BV01_concoct_2,A05DMB_5,A1015_Q2_107_481,A1015_Q2_40_586,A1015_Q2_107_497,A0116_SJ02_107_027,SpSt_266,QZM_B1_bin_37_1,MBMAG405,L_E_AR_18,L_E_AR_33,SJ75_4_contigs,QUI85_23_contigs,A13_1_40CM_2_52_14,A13_1_40CM_3_52_10,BA_10,BA_12,BA_14,BA_16,BA_18,BA_1,BA_26,BA_4,BA_7,A0116_SJ02_599,BA_9,A13_1_20CM_2_53_14,Archaea_bin_1,BA_11,BA_27,MBMAG504,MBMAG202,QUI85_58_2_contigs,1015_Q2_604,A3300010339_29,A3300017925_10,A3300025469_14,A3300025472_24,A0116_SJ02_102,A0116_SJ02_112,A0116_SJ02_40_099,A0116_SJ02_40_108,A0116_SJ02_519,A1015_Q2_107_002,A1015_Q2_151,fen_987,MAQ_0_bin_072,A0216_BV02_MP05_40_187_filtered,A3300010341_32,MAQ_bin_044_fasta_assembly,A1015_Q2_40_006,QUI85_69_contigs
K02036,Transporter,124,Sulfur_phosphate,pstABCS,pstB,1,1,1,0,2,1,0,1,1,1,2,2,0,1,0,0,0,2,1,1,1,1,1,1,1,0,1,0,1,1,2,2,1,2,2,2,1,1,1,2,1,0,0,0,0,2,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,1,1,0,1,2,1,0,2,1,0,1,1,1,0,1,2,1,1
K02037,Transporter,125,Sulfur_phosphate,pstABCS,pstC,1,2,1,0,2,1,0,0,1,1,2,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,2,2,2,1,2,2,1,1,1,1,2,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,0
K02038,Transporter,126,Sulfur_phosphate,pstABCS,pstA,0,0,1,0,2,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,2,2,2,1,2,2,1,1,1,0,2,1,0,0,0,0,0,2,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,3,0,1,1,1,0,1,1,0,1,1,1,0,1,2,1,0,0,0,1,0,0,1,1,0,1,2,0
K02040,Transporter,127,Sulfur_phosphate,pstABCS,pstS,1,1,1,0,2,1,0,2,0,1,2,0,0,1,0,0,1,2,2,1,2,0,1,1,0,0,1,0,1,1,3,3,2,1,3,0,2,2,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,0,1,1,0,1,0,0,0,0,2,2,1,1,0,0,1,0,1,0,0,1,2,0
K03320,Transporter,128,Nitrogen,amt,amt,2,2,1,0,3,2,0,2,3,0,0,3,4,0,1,0,2,3,1,0,4,3,3,0,0,0,2,2,1,0,3,1,3,2,3,3,2,2,4,3,1,0,0,1,0,1,2,0,0,2,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2,0,1,1,2,2,1,2,0,0,1,0,0,0,2,1,0,1,0,0,0
K02013,Transporter,129,Iron,fitBCE,fitB,1,3,4,1,0,2,0,4,1,4,2,3,0,2,1,1,0,10,5,2,3,1,1,2,2,1,0,2,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0
K02015,Transporter,130,Iron,fitBCE,fitC,1,4,4,1,0,2,0,4,1,4,2,1,0,4,2,1,0,10,5,2,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K02016,Transporter,131,Iron,fitBCE,fitE,2,4,6,1,0,2,0,3,1,5,3,1,0,3,3,0,0,14,6,2,4,1,1,4,0,1,1,2,1,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0
K04758,Transporter,132,Iron,feoABC,feoA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04759,Transporter,133,Iron,feoABC,feoB,1,1,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,3,3,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
K07490,Transporter,134,Iron,feoABC,feoC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07243,Transporter,135,Iron,FTR,FTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K22736,Transporter,136,Iron,VIT,VIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,2,2,0,0,2,1,1,2,1,0,0,1,1,1
K09815,Transporter,137,Metal,znuABC,znuA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
K09816,Transporter,138,Metal,znuABC,znuB,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
K09817,Transporter,139,Metal,znuABC,znuC,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K16267,Transporter,140,Metal,zipB,zipB,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K15495,Transporter,141,Metal,wtpABC,wtpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1
K15496,Transporter,142,Metal,wtpABC,wtpB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
K15497,Transporter,143,Metal,wtpABC,wtpC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
K05772,Transporter,144,Metal,tupABC,tupA,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
K05773,Transporter,145,Metal,tupABC,tupB,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0
K06857,Transporter,146,Metal,tupABC,tupC,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
K17686,Transporter,147,Metal,copAB,copA,1,1,1,0,1,2,1,1,1,1,1,5,2,1,0,0,0,2,1,1,0,1,1,0,0,3,0,0,1,2,1,1,1,1,1,2,3,2,2,3,0,0,0,1,2,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,2,1,2,0,0,0,2
K01534,Transporter,148,Metal,zntA,zntA,0,0,1,0,1,1,0,2,1,2,2,1,2,3,0,0,0,1,1,2,1,2,1,1,2,0,0,1,0,0,0,1,1,1,1,2,5,0,1,1,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,2,1,0,1,0,0,3,1,1,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0
K01533,Transporter,149,Metal,copAB,copB,1,3,2,1,1,2,1,2,1,1,0,1,3,0,3,0,1,2,1,1,1,2,2,0,0,0,1,0,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,0,4,2,1,3,2,0,1,0,0,4,4,4,2,0,0,2,1,1,2,1,0,1,6,1,2,2,0,2,0,1,0,2,1,0,1,0,0,0,0,1,1,2,0,1,0,0
K03325,Transporter,150,Metal,ACR3,ACR3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0
K01551,Transporter,151,Metal,arsAB,arsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
K03893,Transporter,152,Metal,arsAB,arsB,0,0,1,0,1,1,2,1,1,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02006,Transporter,153,Metal,cbiMNOQ,cbiO,0,1,1,0,1,1,0,2,0,2,2,0,4,2,0,0,0,1,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K02007,Transporter,154,Metal,cbiMNOQ,cbiM,0,1,1,1,1,2,1,1,0,1,2,2,2,2,0,0,0,1,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
K02008,Transporter,155,Metal,cbiMNOQ,cbiQ,0,1,1,0,1,1,0,1,0,2,2,0,2,2,0,0,0,1,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
K02009,Transporter,156,Metal,cbiMNOQ,cbiN,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K03284,Transporter,157,Metal,corA,corA,1,1,0,0,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,2,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07787,Transporter,158,Metal,cusA,cusA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K11105,Transporter,159,Metal,cvrA,cvrA,1,1,2,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K16264,Transporter,160,Metal,czcD,czcD,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1
K07241,Transporter,161,Metal,hoxN,hoxN,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
K02033,Transporter,162,amino_acid,ddpABCDF,ddpB,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,2,0,0,1,0,2,3,2,1,2,0,0,1,2,0,1,1,0,1,1,4,1,1,1,1,1,2,2,1,0,4,2,5,1,6,3,4,15,8,0,2,7,2,8,1,9,7,2,7,3,1
K02034,Transporter,163,amino_acid,ddpABCDF,ddpC,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,2,0,1,0,0,2,1,1,1,2,0,0,1,2,0,1,1,0,0,1,6,2,1,1,1,1,2,2,1,0,4,2,5,1,6,0,4,11,8,4,4,9,1,8,2,8,12,1,8,4,1
K02035,Transporter,164,amino_acid,ddpABCDF,ddpA,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,2,1,4,1,1,1,0,2,2,2,2,2,0,0,1,6,1,0,1,2,1,2,1,0,0,6,1,3,0,1,0,1,10,13,1,2,5,4,7,1,11,5,0,5,4,0
K02031,Transporter,165,amino_acid,ddpABCDF,ddpD,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,2,1,2,0,0,0,0,2,2,0,2,1,1,1,2,2,2,1,1,1,0,0,1,2,0,1,2,0,0,2,5,2,1,1,1,2,1,2,1,0,5,4,6,1,5,3,4,13,15,4,3,9,3,9,1,11,9,1,8,3,2
K02032,Transporter,166,amino_acid,ddpABCDF,ddpF,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,2,1,0,0,1,2,1,1,1,1,0,0,1,2,0,1,1,0,0,1,4,2,1,0,0,1,1,2,1,0,2,0,5,0,6,0,4,9,7,2,3,3,0,4,0,6,6,1,7,2,3
K01995,Transporter,167,amino_acid,livFGHKM,livG,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,2,1,0,0,0,1,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0
K01996,Transporter,168,amino_acid,livFGHKM,livF,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,1,1,1,2,0,0,1,0,1,0,1,0,0,0
K01997,Transporter,169,amino_acid,livFGHKM,livH,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0
K01998,Transporter,170,amino_acid,livFGHKM,livM,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,1,0,3,1,0,1,0,0,0,1,0,0,0
K01999,Transporter,171,amino_acid,livFGHKM,livK,0,1,0,0,1,2,0,1,1,0,0,1,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0
K02017,Transporter,172,Metal,modABC,modC,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K02018,Transporter,173,Metal,modABC,modB,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
K02019,Transporter,174,Metal,modABCE,modE,1,1,1,0,2,1,1,1,0,0,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,0,2,2,1,0,1,1,1,1,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
K02020,Transporter,175,Metal,modABC,modA,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,2,2,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0